model_name,callsign,measure,order,aic,p,d,q
fairbanks_ak-tmax,"Fairbanks, AK",tmax,"1, 1, 2",2103.8609320846035,1,1,2
fairbanks_ak-prcp,"Fairbanks, AK",prcp,"1, 0, 1",2018.4266796629063,1,0,1
fairbanks_ak-snow,"Fairbanks, AK",snow,"0, 2, 1",3884.766599889588,0,2,1
fairbanks_ak-wdir,"Fairbanks, AK",wdir,"3, 1, 3",4389.983167588727,3,1,3
fairbanks_ak-wspd,"Fairbanks, AK",wspd,"0, 1, 2",1966.3945071830817,0,1,2
fairbanks_ak-pres,"Fairbanks, AK",pres,"3, 1, 3",2379.574263398408,3,1,3
flagstaff_az-tavg,"Flagstaff, AZ",tavg,"2, 1, 1",1549.8753694737404,2,1,1
flagstaff_az-tmin,"Flagstaff, AZ",tmin,"2, 1, 2",1875.0114831015608,2,1,2
flagstaff_az-tmax,"Flagstaff, AZ",tmax,"1, 1, 2",1820.6254298674112,1,1,2
flagstaff_az-prcp,"Flagstaff, AZ",prcp,"1, 0, 0",2242.8078093964205,1,0,0
flagstaff_az-wdir,"Flagstaff, AZ",wdir,"1, 1, 1",4438.434635008821,1,1,1
flagstaff_az-wspd,"Flagstaff, AZ",wspd,"0, 1, 2",2340.9001516336084,0,1,2
flagstaff_az-pres,"Flagstaff, AZ",pres,"1, 1, 2",1974.768122746711,1,1,2
fort worth_tx-tavg,"Fort Worth, TX",tavg,"3, 1, 1",1860.2910221887842,3,1,1
fort worth_tx-tmin,"Fort Worth, TX",tmin,"2, 1, 3",1972.3711136809998,2,1,3
fort worth_tx-tmax,"Fort Worth, TX",tmax,"0, 1, 3",2033.8566086151645,0,1,3
fort worth_tx-prcp,"Fort Worth, TX",prcp,"2, 1, 3",2342.467727455116,2,1,3
fort worth_tx-snow,"Fort Worth, TX",snow,"0, 0, 1",1242.0445756648915,0,0,1
fort worth_tx-wdir,"Fort Worth, TX",wdir,"2, 1, 1",4183.226053406237,2,1,1
fort worth_tx-wspd,"Fort Worth, TX",wspd,"3, 1, 3",2295.515680993584,3,1,3
fort worth_tx-pres,"Fort Worth, TX",pres,"1, 1, 2",2088.4124180146255,1,1,2
gaylord_mi-tavg,"Gaylord, MI",tavg,"3, 2, 2",1892.7348322168084,3,2,2
