id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,callsign
72578,Pocatello Regional Airport,US,ID,72578,KPIH,42.9167,-112.6,1356.0,America/Boise,1943-01-01,2022-04-02,1939-01-03,2022-03-31,1939-01-01,2022-01-01,"Pocatello, ID"
72768,Glasgow International Airport,US,MT,72768,KGGW,48.2167,-106.6167,699.0,America/Denver,1942-12-10,2022-04-02,1942-12-10,2022-03-31,1943-01-01,2022-01-01,"Glasgow, MT"
72775,Great Falls International,US,MT,72775,KGTF,47.4667,-111.3833,1120.0,America/Denver,1973-01-01,2022-04-02,1937-04-01,2022-03-31,1937-01-01,2022-01-01,"Great Falls, MT"
KGFA0,Great Falls / Malmstrom Air Force Base,US,MT,,KGFA,47.5047,-111.1873,1058.0,America/Denver,1942-12-01,2022-04-02,1942-12-02,2022-03-29,1943-01-01,2020-01-01,"Great Falls, MT"
72773,Missoula International Airport,US,MT,72773,KMSO,46.9167,-114.1,976.0,America/Denver,1973-01-01,2022-04-02,1948-01-01,2022-03-31,1948-01-01,2022-01-01,"Missoula, MT"
70580,Elko / Coin,US,NV,70580,KEKO,40.8249,-115.7917,1567.0,America/Los_Angeles,1977-01-01,2022-04-02,1977-02-26,2022-03-31,1981-01-01,2021-01-01,"Elko, NV"
72282,"Las Vegas, Tonopah Range #74 Nellis Afb",US,NV,72282,KBJN,37.6167,-116.25,1756.0,America/Los_Angeles,2006-01-01,2015-01-28,2006-01-04,2022-03-27,2006-01-01,2021-01-01,"Las Vegas, NV"
KHND0,Las Vegas / Sloan,US,NV,,KHND,35.9729,-115.1344,760.0,America/Los_Angeles,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Las Vegas, NV"
KLSV0,Las Vegas / Nellis Air Force Base,US,NV,,KLSV,36.2362,-115.0343,570.0,America/Los_Angeles,2005-01-01,2022-04-02,2005-01-04,2022-03-29,2006-01-01,2021-01-01,"Las Vegas, NV"
KVGT0,Las Vegas / Eastland Heights,US,NV,,KVGT,36.2107,-115.1944,672.0,America/Los_Angeles,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"Las Vegas, NV"
72488,Reno/Tahoe International  Airport,US,NV,72488,KRNO,39.4833,-119.7667,1345.0,America/Los_Angeles,1943-01-05,2022-04-02,1937-03-01,2022-03-31,1937-01-01,2022-01-01,"Reno, NV"
KRTS0,Reno / Reno-Stead,US,NV,,KRTS,39.6682,-119.8764,1539.0,America/Los_Angeles,2011-09-21,2022-04-02,2011-09-22,2022-03-31,2012-01-01,2022-01-01,"Reno, NV"
72688,Pendleton Municipal Airport,US,OR,72688,KPDT,46.1667,-119.3833,455.0,America/Los_Angeles,1942-01-01,2022-04-02,1928-01-01,2022-03-31,1928-01-01,2022-01-01,"Pendleton, OR"
72698,Portland International  Airport,US,OR,72698,KPDX,45.5833,-122.6,8.0,America/Los_Angeles,1936-05-01,2022-04-02,1936-05-01,2022-03-31,1936-01-01,2022-01-01,"Portland, OR"
KHIO0,Portland / Orenco,US,OR,,KHIO,45.5406,-122.9502,63.0,America/Los_Angeles,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Portland, OR"
KTTD0,Portland / Troutdale,US,OR,,KTTD,45.5494,-122.4013,12.0,America/Los_Angeles,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Portland, OR"
72572,Salt Lake City International  Airport,US,UT,72572,KSLC,40.7833,-111.9667,1288.0,America/Denver,1941-11-01,2022-04-02,1941-11-01,2022-03-31,1941-01-01,2022-01-01,"Salt Lake City, UT"
KU420,Salt Lake City / April Meadows,US,UT,,KU42,40.6195,-111.9929,1404.0,America/Denver,2016-08-15,2022-04-02,2016-08-16,2022-03-31,2020-01-01,2022-01-01,"Salt Lake City, UT"
72785,Spokane International Airport,US,WA,72785,KGEG,47.6167,-117.5333,723.0,America/Los_Angeles,1941-08-11,2022-04-02,1889-08-01,2022-03-31,1889-01-01,2022-01-01,"Spokane, WA"
KSFF0,Spokane / Yardley,US,WA,,KSFF,47.6828,-117.3226,597.0,America/Los_Angeles,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Spokane, WA"
KSKA0,Spokane / Fairchild Air Force Base,US,WA,,KSKA,47.6151,-117.6558,750.0,America/Los_Angeles,1940-04-01,2022-04-02,1940-04-02,2022-03-30,1940-01-01,2021-01-01,"Spokane, WA"
